Player_Name,Age,Overall,Potential,Sprint_Speed,Finishing,Short_Passing,Dribbling,Standing_Tackle,Strength,Career_Stage_28+ (Veteran),Career_Stage_U21 (Wonderkid),Broad_Position_Defender,Broad_Position_Midfielder,True_Value_EUR,Predicted_Value_EUR,Age_SHAP,Overall_SHAP,Potential_SHAP,Sprint_Speed_SHAP,Finishing_SHAP,Short_Passing_SHAP,Dribbling_SHAP,Standing_Tackle_SHAP,Strength_SHAP,Career_Stage_28+ (Veteran)_SHAP,Career_Stage_U21 (Wonderkid)_SHAP,Broad_Position_Defender_SHAP,Broad_Position_Midfielder_SHAP
Enzo Le Fée,25,78.0,80.0,63.0,60.0,80.0,79.0,74.0,55.0,0,0,0,1,18406037.000000015,19067908.0,-0.03617418,-0.1825662,-0.10508225,-0.043685403,-0.016963348,0.014389955,0.0014993793,-0.029946657,-0.049684424,0.0006638357,-0.0040743165,6.621503e-05,-0.005579343
Mika Godts,20,77.0,86.0,81.0,72.0,74.0,84.0,50.0,63.0,0,1,0,0,18406037.000000015,20508332.0,0.038798466,-0.22783066,-0.03683806,-0.028094353,-0.010672404,-0.0038571986,0.01928339,-0.04839421,-0.09252279,0.00056003215,0.0033659888,0.0005827685,0.001310612
Gabriel Teodoro Martinelli Silva,24,81.0,84.0,89.0,79.0,77.0,85.0,44.0,63.0,0,0,0,0,33130866.00000001,31161204.0,-0.0107279755,-0.014129644,-0.074047156,0.053373035,0.018446129,-0.005547646,0.06428772,0.10235241,-0.102135785,0.0012314218,-0.0014491299,0.00046386928,0.0019077109
Richarlison de Andrade,28,79.0,79.0,75.0,79.0,76.0,80.0,58.0,74.0,1,0,0,0,20614760.99999998,22421896.0,-0.023581682,-0.14799988,-0.09745656,0.009297464,0.0019580075,0.000365724,-0.014637552,-0.04600527,0.018606262,0.004437504,-0.0025959064,0.00024890387,0.0022583592
Omar Marmoush,26,83.0,83.0,90.0,85.0,82.0,85.0,30.0,67.0,0,0,0,0,44174489.00000005,43662200.0,0.005938512,0.08804779,-0.069521286,0.0997578,0.06947945,0.0040018396,0.10701538,0.046458814,0.018394066,0.0013201884,-0.0018309419,0.000808169,0.0014598927
Alessandro Bastoni,26,87.0,89.0,77.0,40.0,84.0,77.0,88.0,81.0,0,0,1,0,51536904.0,60468380.0,0.025647284,0.4246372,0.2860653,0.0063202297,-0.018566662,0.031217089,-0.015584682,-0.017297596,0.027782347,0.007056332,-0.0011455211,-0.060607877,0.0014505365
Mamadou Sarr,19,77.0,84.0,76.0,21.0,72.0,53.0,79.0,82.0,0,1,1,0,18406037.000000015,20116804.0,0.05981403,-0.19624029,-0.08273322,0.0013774197,-0.10926238,-0.03811255,-0.053700496,-0.02855929,0.03915643,0.00036285009,0.005298301,-0.003839013,0.002844684
Elliot Anderson,22,82.0,86.0,68.0,66.0,83.0,82.0,83.0,75.0,0,0,0,1,44174489.00000005,34128652.0,0.07388703,0.018240247,-0.019095626,0.01759537,0.0076163113,0.0006023394,0.029094223,-0.0011138349,0.004505183,0.0014429694,-0.0044683055,0.0016116897,-0.0049215904
Kouadio Manu Koné,24,80.0,84.0,72.0,71.0,82.0,83.0,79.0,82.0,0,0,0,1,36812074.00000004,31222244.0,0.00040948688,-0.089242175,-0.07859566,0.026289737,0.0117702475,0.010131651,0.083715014,-0.013907825,0.09022683,0.0013618371,-0.0035953524,0.0008592826,-0.0034417212
Eberechi Eze,27,84.0,85.0,75.0,80.0,84.0,87.0,63.0,68.0,0,0,0,0,44174489.00000005,30715448.0,-0.12807353,0.15392031,-0.08659769,0.016584927,0.0089981165,0.033945363,0.06532022,-0.054107934,0.007218708,0.0020995813,-0.0021243263,0.0005460378,0.001892376
