TM_Name,TM_Position,TM_Age,Market_Value
Lamine Yamal,Right Winger,18,"₹1,600 Cr"
Erling Haaland,Centre-Forward,25,"₹1,600 Cr"
Kylian Mbappé,Centre-Forward,27,"₹1,600 Cr"
Pedri,Central Midfield,23,"₹1,200 Cr"
Vinicius Junior,Left Winger,25,"₹1,200 Cr"
Jude Bellingham,Attacking Midfield,22,"₹1,120 Cr"
Michael Olise,Right Winger,24,"₹1,120 Cr"
Jamal Musiala,Attacking Midfield,23,₹960 Cr
Bukayo Saka,Right Winger,24,₹960 Cr
Federico Valverde,Central Midfield,27,₹960 Cr
Declan Rice,Central Midfield,27,₹960 Cr
Moisés Caicedo,Defensive Midfield,24,₹880 Cr
João Neves,Central Midfield,21,₹880 Cr
Florian Wirtz,Attacking Midfield,22,₹880 Cr
Cole Palmer,Attacking Midfield,23,₹880 Cr
Vitinha,Defensive Midfield,26,₹880 Cr
Fermín López,Attacking Midfield,22,₹800 Cr
Dominik Szoboszlai,Attacking Midfield,25,₹800 Cr
Alexander Isak,Centre-Forward,26,₹800 Cr
Ousmane Dembélé,Centre-Forward,28,₹800 Cr
Désiré Doué,Right Winger,20,₹720 Cr
Arda Güler,Attacking Midfield,21,₹720 Cr
Hugo Ekitiké,Centre-Forward,23,₹720 Cr
Enzo Fernández,Central Midfield,25,₹720 Cr
Julián Alvarez,Centre-Forward,26,₹720 Cr
Khvicha Kvaratskhelia,Left Winger,25,₹720 Cr
William Saliba,Centre-Back,25,₹720 Cr
Ryan Gravenberch,Defensive Midfield,23,₹720 Cr
Lautaro Martínez,Centre-Forward,28,₹680 Cr
Estêvão,Right Winger,18,₹640 Cr
Pau Cubarsí,Centre-Back,19,₹640 Cr
Alexis Mac Allister,Central Midfield,27,₹640 Cr
Morgan Rogers,Attacking Midfield,23,₹640 Cr
Martín Zubimendi,Defensive Midfield,27,₹640 Cr
Bryan Mbeumo,Right Winger,26,₹640 Cr
Raphinha,Left Winger,29,₹640 Cr
Phil Foden,Attacking Midfield,25,₹640 Cr
Achraf Hakimi,Right-Back,27,₹640 Cr
Sandro Tonali,Defensive Midfield,25,₹640 Cr
Yan Diomande,Left Winger,19,₹600 Cr
Kenan Yıldız,Left Winger,20,₹600 Cr
Aleksandar Pavlovic,Defensive Midfield,21,₹600 Cr
João Pedro,Centre-Forward,24,₹600 Cr
Nuno Mendes,Left-Back,23,₹600 Cr
Antoine Semenyo,Right Winger,26,₹600 Cr
Bruno Guimarães,Central Midfield,28,₹600 Cr
Gabriel,Centre-Back,28,₹600 Cr
Aurélien Tchouaméni,Defensive Midfield,26,₹600 Cr
Victor Osimhen,Centre-Forward,27,₹600 Cr
Bradley Barcola,Left Winger,23,₹560 Cr
Willian Pacho,Centre-Back,24,₹560 Cr
Matheus Cunha,Centre-Forward,26,₹560 Cr
Luis Díaz,Left Winger,29,₹560 Cr
Josko Gvardiol,Centre-Back,24,₹560 Cr
Jurriën Timber,Right-Back,24,₹560 Cr
Dayot Upamecano,Centre-Back,27,₹560 Cr
Alessandro Bastoni,Centre-Back,26,₹560 Cr
Nico Paz,Attacking Midfield,21,₹520 Cr
Dean Huijsen,Centre-Back,20,₹520 Cr
Benjamin Sesko,Centre-Forward,22,₹520 Cr
Rayan Cherki,Attacking Midfield,22,₹520 Cr
Micky van de Ven,Centre-Back,24,₹520 Cr
Jérémy Doku,Left Winger,23,₹520 Cr
Nick Woltemade,Centre-Forward,24,₹520 Cr
Cody Gakpo,Left Winger,26,₹520 Cr
Jules Koundé,Right-Back,27,₹520 Cr
Marc Guéhi,Centre-Back,25,₹520 Cr
Rodri,Defensive Midfield,29,₹520 Cr
Rafael Leão,Left Winger,26,₹520 Cr
Viktor Gyökeres,Centre-Forward,27,₹520 Cr
Martin Ødegaard,Attacking Midfield,27,₹520 Cr
Trent Alexander-Arnold,Right-Back,27,₹520 Cr
Harry Kane,Centre-Forward,32,₹520 Cr
Lennart Karl,Attacking Midfield,18,₹480 Cr
Luka Vuskovic,Centre-Back,19,₹480 Cr
Álvaro Carreras,Left-Back,23,₹480 Cr
